Artist:	Lymphatic Phlegm			
				
Title	Link	Album	Track	Path
Today I'm Dirty, Tomorrow I'll Be Just Dirt	https://www.youtube.com/watch?v=GRltGO9l69M	Torsofuck, Lymphatic Phlegm - Album	1	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Today I'm Dirty, Tomorrow I'll Be Just Dirt
Chronic Tertiary Lymphedema (Lymphostatic Elephantiasis)	https://www.youtube.com/watch?v=XCm75hD5LBc	Torsofuck, Lymphatic Phlegm - Album	2	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Chronic Tertiary Lymphedema (Lymphostatic Elephantiasis)
Visceral Ischemia After Thoraco - Adominal Trauma	https://www.youtube.com/watch?v=D5eKcKpmqGE	Torsofuck, Lymphatic Phlegm - Album	3	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Visceral Ischemia After Thoraco - Adominal Trauma
Resection of Upper Gastrointestinal Malignancy	https://www.youtube.com/watch?v=QuIZh9--w4o	Torsofuck, Lymphatic Phlegm - Album	4	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Resection of Upper Gastrointestinal Malignancy
Diffuse Hyperaesthesia in Dysethetic Vulvodynia	https://www.youtube.com/watch?v=h_AF-_g6P-A	Torsofuck, Lymphatic Phlegm - Album	5	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Diffuse Hyperaesthesia in Dysethetic Vulvodynia
Early Aortic Regurgitation On Acute Myocardial Infarction	https://www.youtube.com/watch?v=wrUY-IFxh2s	Torsofuck, Lymphatic Phlegm - Album	6	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Early Aortic Regurgitation On Acute Myocardial Infarction
Malignant Pancreatic Intraductal Papillary Tumour	https://www.youtube.com/watch?v=1hGMEr7Xu0E	Torsofuck, Lymphatic Phlegm - Album	7	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Malignant Pancreatic Intraductal Papillary Tumour
Insalubrious Development of Multiple Endocrine Neoplasia	https://www.youtube.com/watch?v=kPeGOjESP10	Torsofuck, Lymphatic Phlegm - Album	8	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Insalubrious Development of Multiple Endocrine Neoplasia
Liver Transplantation for Hepatocellular Carcinoma	https://www.youtube.com/watch?v=DbmjLv985aQ	Torsofuck, Lymphatic Phlegm - Album	9	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Liver Transplantation for Hepatocellular Carcinoma
Ileal Pouch - Anal Anastomosis in Chronic Ulcerative Colitis	https://www.youtube.com/watch?v=jplzciwca8g	Torsofuck, Lymphatic Phlegm - Album	10	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Ileal Pouch - Anal Anastomosis in Chronic Ulcerative Colitis
Altered Mucosal Immunity in Cholestatic Jaundice	https://www.youtube.com/watch?v=rdV5ZPeaDww	Torsofuck, Lymphatic Phlegm - Album	11	music/Lymphatic Phlegm/Torsofuck, Lymphatic Phlegm - Album/Altered Mucosal Immunity in Cholestatic Jaundice